#    T [K]            N         DOS(Ef)           S             s/t               R_H        kappa0         c                 chi         Ef
   10.0000      0.00006458  0.11966575E+01  0.13067311E-03  0.10582857E+18  0.47759136E-05  0.34370861E+11  0.94248775E-03  0.17865071E-10  0.38805032E+00
   20.0000      0.00006458  0.79918203E+00  0.22527729E-03  0.89288207E+17  0.49000111E-05  0.12730402E+12  0.22024967E-02  0.11931103E-10  0.38814301E+00
   30.0000      0.00006458  0.59023608E+00  0.28243422E-03  0.86009698E+17  0.45726678E-05  0.25566664E+12  0.35077969E-02  0.88117188E-11  0.38827919E+00
   40.0000      0.00006458  0.46414458E+00  0.32016726E-03  0.84220063E+17  0.43562997E-05  0.40785566E+12  0.46770419E-02  0.69292808E-11  0.38844571E+00
   50.0000      0.00006458  0.38100341E+00  0.34857710E-03  0.82902785E+17  0.42164577E-05  0.57901127E+12  0.57135314E-02  0.56880545E-11  0.38863488E+00
   60.0000      0.00006458  0.32252577E+00  0.37143501E-03  0.81866008E+17  0.41221736E-05  0.76587647E+12  0.66407110E-02  0.48150334E-11  0.38884204E+00
   70.0000      0.00006458  0.27933468E+00  0.39056825E-03  0.81017890E+17  0.40566195E-05  0.96611808E+12  0.74796241E-02  0.41702273E-11  0.38906412E+00
   80.0000      0.00006458  0.24620532E+00  0.40701890E-03  0.80301932E+17  0.40100869E-05  0.11779758E+13  0.82465251E-02  0.36756345E-11  0.38929896E+00
   90.0000      0.00006458  0.22002406E+00  0.42144367E-03  0.79681458E+17  0.39766044E-05  0.14000779E+13  0.89537313E-02  0.32847707E-11  0.38954493E+00
  100.0000      0.00006458  0.19883043E+00  0.43428511E-03  0.79132056E+17  0.39523218E-05  0.16313295E+13  0.96106797E-02  0.29683679E-11  0.38980079E+00
  110.0000      0.00006458  0.18133277E+00  0.44585601E-03  0.78637103E+17  0.39346674E-05  0.18708378E+13  0.10224729E-01  0.27071429E-11  0.39006555E+00
